Date,AMT,BLL,CNC,DG,DLR,EA,EFX,GDX,REGN,SBAC,VFC,VRSN,VRTX
05/04/2021,243.4875031,86.87000275,63.95999908,207.7799988,145.7700043,141.5399933,186.7400055,33.70999908,484.5599976,285.1099854,83.11000061,206.1799927,215.3200073
06/04/2021,242.3235474,87.98999786,62.63999939,205.6300049,144.6699982,141.2799988,185.0200043,34.27999878,478.6799927,285.4599915,83.68000031,205.5800018,215.3000031
07/04/2021,243.4477234,86.52999878,62.61999893,205.7299957,142.8999939,142.0099945,181.5899963,33.93000031,481.7900085,284.1900024,83.98000336,204.3699951,212.7200012
08/04/2021,239.8662872,87.62999725,61.54000092,207.1900024,141.8800049,141.5500031,183.7400055,34.72999954,476.3599854,279.6400146,83.11000061,204.7400055,210.2799988
09/04/2021,239.1499939,89.86000061,62.61000061,206.6600037,141.2599945,140.4600067,185.8099976,34.72999954,475.1700134,275.6900024,84.94000244,205.3000031,213.3500061
12/04/2021,241.5,90.69999695,62.43000031,209.0399933,143.5200043,141.4499969,187.2200012,33.95999908,472.7999878,280.4899902,85.40000153,203.7200012,213.6000061
13/04/2021,243.0099945,90.76000214,62.22999954,212.0399933,146.1900024,142.1100006,187.9900055,34.56000137,477.0400085,282.1300049,83.83999634,205.1900024,215.9400024
14/04/2021,241.6799927,89.47000122,62.58000183,213.5500031,143.6199951,141.6100006,185.5299988,34.29000092,481.1600037,281.0299988,83.98000336,203.8800049,217.1300049
15/04/2021,247.1600037,90.55000305,64.23999786,215.75,147.2400055,142.7700043,188.3500061,35.70999908,494.6400146,288.4400024,84.01000214,208.3200073,221.1000061
16/04/2021,248.6199951,91.01000214,64.95999908,216.7400055,145.9600067,141.0500031,190.9799957,36.02999878,502.6000061,288.3299866,84.73999786,208.1600037,219.3899994
19/04/2021,248.5399933,90.90000153,65.37999725,216.7299957,147.7599945,139.6300049,189.5899963,35.79000092,499.6900024,288.0899963,83.98000336,207.2599945,219.1799927
20/04/2021,252.6699982,92.29000092,65.43000031,218.2899933,150.9400024,140.8600006,192.1999969,36.20000076,504.4200134,292.019989,84.55000305,209.5,220.1600037
21/04/2021,252.1799927,92.90000153,65.48999786,216.8399963,150.8200073,141.0399933,192.6300049,36.83000183,506.480011,291.3500061,87,211.1100006,219.7599945
22/04/2021,251.5399933,92.69000244,64.63999939,215.1600037,149.0500031,141.2599945,221.4100037,36.18000031,490.4299927,294.5700073,86.38999939,212.3699951,215.9799957
23/04/2021,254.0399933,93.98000336,65.37000275,213.3099976,149.0399933,143.1399994,229.7200012,36.06000137,488.6400146,296.4899902,88.37999725,211.4700012,217.8999939
26/04/2021,252.9900055,92.90000153,66,211.7299957,148.2299957,143.7899933,225.5299988,35.97999954,501.1700134,296.7799988,87.80000305,216.6600037,216.9700012
27/04/2021,252.4900055,92.90000153,61.31000137,212.3999939,147.9299927,143.4600067,234.3399963,35.29999924,491.8099976,294.7799988,89.13999939,220.0500031,215.5299988
28/04/2021,251.9499969,91.34999847,59.49000168,212.0800018,147.1699982,143.9900055,227.3000031,35.45000076,487.769989,297.8800049,89.31999969,218.1499939,213.4799957
29/04/2021,250.4100037,93.37999725,60.59000015,214.8699951,149.0399933,146.3399963,228,34.77000046,485,298.0799866,88.79000092,219.6199951,211.8600006
30/04/2021,254.7700043,93.63999939,61.74000168,214.75,154.3099976,142.0800018,229.2299957,34.36000061,481.2999878,299.7200012,87.66000366,218.7700043,218.1999969
03/05/2021,252.4199982,93.26000214,62.41999817,216.5700073,151.6699982,141.1799927,233.8899994,35.68000031,488.6199951,298.6600037,89.83000183,221.25,217.9499969
04/05/2021,250.0950012,93.84999847,63.08010101,214.7799988,152.7899933,137.9499969,232.9900055,35.6969986,481.25,298.0249939,89.01499939,220.5099945,213.8099976
